sample_accession	run_accession	sample_alias
SAMEA7001012	ERR4281481	1169-M
SAMEA7001013	ERR4281482	1170-3Y
SAMEA7001014	ERR4281483	1170-4M
SAMEA7001015	ERR4281484	1170-5Y
SAMEA7001016	ERR4281485	1170-NB
SAMEA7001017	ERR4281486	1170-M
SAMEA7001018	ERR4281487	1172-12M
SAMEA7001019	ERR4281488	1172-3Y
SAMEA7001020	ERR4281489	1172-4M
SAMEA7001021	ERR4281490	1172-NB
SAMEA7001022	ERR4281491	1172-M
SAMEA7001023	ERR4281492	1173-3Y
SAMEA7001024	ERR4281493	1173-4M
SAMEA7001025	ERR4281494	1173-5Y
SAMEA7001026	ERR4281495	1174-12M
SAMEA7001027	ERR4281496	1174-3Y
SAMEA7001028	ERR4281497	1174-4M
SAMEA7001029	ERR4281498	1174-5Y
SAMEA7001030	ERR4281499	1174-M
SAMEA7001031	ERR4281500	1175-12M
SAMEA7001032	ERR4281501	1175-4M
SAMEA7001033	ERR4281502	1177-12M
SAMEA7001034	ERR4281503	1177-3Y
SAMEA7001035	ERR4281504	1177-4M
SAMEA7001036	ERR4281505	1177-NB
SAMEA7001037	ERR4281506	1177-M
SAMEA7001038	ERR4281507	1178-12M
SAMEA7001039	ERR4281508	1178-3Y
SAMEA7001040	ERR4281509	1178-4M
SAMEA7001041	ERR4281510	1178-5Y
SAMEA7001042	ERR4281511	1178-NB
SAMEA7001043	ERR4281512	1178-M
SAMEA7001044	ERR4281513	1179-12M
SAMEA7001045	ERR4281514	1179-3Y
SAMEA7001046	ERR4281515	1179-4M
SAMEA7001047	ERR4281516	1179-5Y
SAMEA7001048	ERR4281517	1179-NB
SAMEA7001049	ERR4281518	1179-M
SAMEA7001050	ERR4281519	1180-12M
SAMEA7001051	ERR4281520	1180-4M
SAMEA7001052	ERR4281521	1180-NB
SAMEA7001053	ERR4281522	1180-M
SAMEA7001054	ERR4281523	118-12M
SAMEA7001055	ERR4281524	1181-3Y
SAMEA7001056	ERR4281525	1181-4M
SAMEA7001057	ERR4281526	1181-5Y
SAMEA7001058	ERR4281527	1181-NB
SAMEA7001059	ERR4281528	1181-M
SAMEA7001060	ERR4281529	1182-NB
SAMEA7001061	ERR4281530	1182-M
SAMEA7001062	ERR4281531	1183-12M
SAMEA7001063	ERR4281532	1183-3Y
SAMEA7001064	ERR4281533	1183-4M
SAMEA7001065	ERR4281534	1183-5Y
SAMEA7001066	ERR4281535	1183-NB
SAMEA7001067	ERR4281536	1183-M
SAMEA7001068	ERR4281537	118-3Y
SAMEA7001069	ERR4281538	118-4M
SAMEA7001070	ERR4281539	1185-12M
SAMEA7001071	ERR4281540	1185-4M
SAMEA7001072	ERR4281541	1185-NB
SAMEA7001073	ERR4281542	118-5Y
SAMEA7001074	ERR4281543	1186-12M
SAMEA7001075	ERR4281544	1186-3Y
SAMEA7001076	ERR4281545	1186-4M
SAMEA7001077	ERR4281546	1186-5Y
SAMEA7001078	ERR4281547	1186-NB
SAMEA7001079	ERR4281548	1186-M
SAMEA7001080	ERR4281549	1187-12M
SAMEA7001081	ERR4281550	1187-3Y
SAMEA7001082	ERR4281551	1187-4M
SAMEA7001083	ERR4281552	1187-5Y
SAMEA7001084	ERR4281553	1187-NB
SAMEA7001085	ERR4281554	1187-M
SAMEA7001086	ERR4281555	1188-12M
SAMEA7001087	ERR4281556	1188-3Y
SAMEA7001088	ERR4281557	1188-4M
SAMEA7001089	ERR4281558	1188-NB
SAMEA7001090	ERR4281559	1188-M
SAMEA7001091	ERR4281560	118-M
SAMEA7001092	ERR4281561	1190-12M
SAMEA7001093	ERR4281562	1190-3Y
SAMEA7001094	ERR4281563	1190-4M
SAMEA7001095	ERR4281564	1190-5Y
SAMEA7001096	ERR4281565	1190-NB
SAMEA7001097	ERR4281566	1190-M
SAMEA7001098	ERR4281567	1191-4M
SAMEA7001099	ERR4281568	1191-NB
SAMEA7001100	ERR4281569	1191-M
SAMEA7001101	ERR4281570	1192-12M
SAMEA7001102	ERR4281571	1192-3Y
SAMEA7001103	ERR4281572	1192-4M
