sample_accession	run_accession	sample_alias
SAMEA7003104	ERR4282307	338-12M
SAMEA7003105	ERR4282308	338-3Y
SAMEA7003106	ERR4282309	338-4M
SAMEA7003107	ERR4282310	338-5Y
SAMEA7003108	ERR4282311	338-NB
SAMEA7003109	ERR4282312	338-M
SAMEA7003110	ERR4282313	339-3Y
SAMEA7003111	ERR4282314	339-4M
SAMEA7003112	ERR4282315	339-5Y
SAMEA7003113	ERR4282316	33-M
SAMEA7003114	ERR4282317	3-3Y
SAMEA7003115	ERR4282318	341-12M
SAMEA7003116	ERR4282319	341-3Y
SAMEA7003117	ERR4282320	341-4M
SAMEA7003118	ERR4282321	341-5Y
SAMEA7003119	ERR4282322	341-NB
SAMEA7003120	ERR4282323	341-M
SAMEA7003121	ERR4282324	342-12M
SAMEA7003122	ERR4282325	342-4M
SAMEA7003123	ERR4282326	342-5Y
SAMEA7003124	ERR4282327	343-12M
SAMEA7003125	ERR4282328	343-3Y
SAMEA7003126	ERR4282329	343-4M
SAMEA7003127	ERR4282330	343-5Y
SAMEA7003128	ERR4282331	343-NB
SAMEA7003129	ERR4282332	343-M
SAMEA7003130	ERR4282333	344-12M
SAMEA7003131	ERR4282334	344-3Y
SAMEA7003132	ERR4282335	344-4M
SAMEA7003133	ERR4282336	344-5Y
SAMEA7003134	ERR4282337	344-NB
SAMEA7003135	ERR4282338	344-M
SAMEA7003136	ERR4282339	345-12M
SAMEA7003137	ERR4282340	345-3Y
SAMEA7003138	ERR4282341	345-4M
SAMEA7003139	ERR4282342	345-5Y
SAMEA7003140	ERR4282343	345-NB
SAMEA7003141	ERR4282344	345-M
SAMEA7003142	ERR4282345	348-12M
SAMEA7003143	ERR4282346	348-3Y
SAMEA7003144	ERR4282347	348-4M
SAMEA7003145	ERR4282348	348-5Y
SAMEA7003146	ERR4282349	348-NB
SAMEA7003147	ERR4282350	348-M
SAMEA7003148	ERR4282351	349-12M
SAMEA7003149	ERR4282352	349-3Y
SAMEA7003150	ERR4282353	349-4M
SAMEA7003151	ERR4282354	3-4M
SAMEA7003152	ERR4282355	350-12M
SAMEA7003153	ERR4282356	350-4M
SAMEA7003154	ERR4282357	350-NB
SAMEA7003155	ERR4282358	350-M
SAMEA7003156	ERR4282359	351-3Y
SAMEA7003157	ERR4282360	351-4M
SAMEA7003158	ERR4282361	351-5Y
SAMEA7003159	ERR4282362	351-M
SAMEA7003160	ERR4282363	352-12M
SAMEA7003161	ERR4282364	352-4M
SAMEA7003162	ERR4282365	355-12M
SAMEA7003163	ERR4282366	355-3Y
SAMEA7003164	ERR4282367	355-4M
SAMEA7003165	ERR4282368	358-12M
SAMEA7003166	ERR4282369	358-3Y
SAMEA7003167	ERR4282370	358-4M
SAMEA7003169	ERR4282371	358-5Y
SAMEA7003170	ERR4282372	359-12M
SAMEA7003171	ERR4282373	359-3Y
SAMEA7003172	ERR4282374	359-4M
SAMEA7003173	ERR4282375	359-5Y
SAMEA7003174	ERR4282376	360-12M
SAMEA7003175	ERR4282377	360-4M
SAMEA7003176	ERR4282378	360-M
SAMEA7003177	ERR4282379	361-12M
SAMEA7003178	ERR4282380	361-3Y
SAMEA7003179	ERR4282381	361-4M
SAMEA7003180	ERR4282382	361-M
SAMEA7003181	ERR4282383	364-12M
SAMEA7003182	ERR4282384	364-3Y
SAMEA7003183	ERR4282385	364-4M
SAMEA7003184	ERR4282386	364-5Y
SAMEA7003185	ERR4282387	366-12M
SAMEA7003186	ERR4282388	366-3Y
SAMEA7003187	ERR4282389	366-4M
SAMEA7003188	ERR4282390	366-5Y
SAMEA7003189	ERR4282391	366-NB
SAMEA7003190	ERR4282392	367-12M
SAMEA7003191	ERR4282393	367-4M
SAMEA7003192	ERR4282394	367-NB
SAMEA7003193	ERR4282395	367-M
SAMEA7003194	ERR4282396	369-12M
SAMEA7003195	ERR4282397	369-4M
SAMEA7003196	ERR4282398	369-M
SAMEA7003197	ERR4282399	370-3Y
SAMEA7003198	ERR4282400	370-4M
SAMEA7003199	ERR4282401	370-5Y
SAMEA7003200	ERR4282402	370-M
SAMEA7003201	ERR4282403	371-12M
SAMEA7003202	ERR4282404	37-12M
SAMEA7003203	ERR4282405	371-3Y
SAMEA7003204	ERR4282406	371-4M
SAMEA7003205	ERR4282407	371-NB
SAMEA7003206	ERR4282408	371-M
SAMEA7003207	ERR4282409	373-4M
SAMEA7003208	ERR4282410	373-5Y
SAMEA7003209	ERR4282411	374-12M
SAMEA7003210	ERR4282412	374-3Y
SAMEA7003211	ERR4282413	374-4M
SAMEA7003212	ERR4282414	374-5Y
SAMEA7003213	ERR4282415	37-4M
SAMEA7003214	ERR4282416	374-M
SAMEA7003215	ERR4282417	377-12M
SAMEA7003216	ERR4282418	377-3Y
SAMEA7003217	ERR4282419	377-4M
SAMEA7003218	ERR4282420	377-5Y
SAMEA7003219	ERR4282421	377-NB
SAMEA7003220	ERR4282422	377-M
SAMEA7003221	ERR4282423	379-4M
SAMEA7003222	ERR4282424	379-NB
SAMEA7003223	ERR4282425	379-M
SAMEA7003224	ERR4282426	37-NB
SAMEA7003225	ERR4282427	38-12M
SAMEA7003226	ERR4282428	382-3Y
SAMEA7003227	ERR4282429	382-4M
SAMEA7003228	ERR4282430	382-5Y
SAMEA7003229	ERR4282431	383-12M
SAMEA7003230	ERR4282432	383-3Y
SAMEA7003231	ERR4282433	383-4M
SAMEA7003232	ERR4282434	383-5Y
SAMEA7003233	ERR4282435	38-3Y
SAMEA7003234	ERR4282436	38-4M
SAMEA7003235	ERR4282437	385-3Y
SAMEA7003236	ERR4282438	385-4M
SAMEA7003237	ERR4282439	385-5Y
SAMEA7003238	ERR4282440	385-NB
SAMEA7003239	ERR4282441	38-5Y
SAMEA7003240	ERR4282442	386-12M
SAMEA7003241	ERR4282443	386-3Y
SAMEA7003242	ERR4282444	386-4M
SAMEA7003243	ERR4282445	386-5Y
SAMEA7003244	ERR4282446	387-12M
SAMEA7003245	ERR4282447	387-3Y
SAMEA7003246	ERR4282448	387-4M
SAMEA7003247	ERR4282449	387-5Y
SAMEA7003248	ERR4282450	387-NB
SAMEA7003249	ERR4282451	387-M
SAMEA7003250	ERR4282452	388-12M
SAMEA7003251	ERR4282453	388-3Y
SAMEA7003252	ERR4282454	388-4M
SAMEA7003253	ERR4282455	388-5Y
SAMEA7003254	ERR4282456	388-NB
SAMEA7003255	ERR4282457	388-M
SAMEA7003256	ERR4282458	38-NB
SAMEA7003257	ERR4282459	38-M
SAMEA7003258	ERR4282460	39-12M
SAMEA7003259	ERR4282461	393-12M
SAMEA7003260	ERR4282462	393-3Y
SAMEA7003261	ERR4282463	393-M
SAMEA7003262	ERR4282464	39-3Y
SAMEA7003263	ERR4282465	394-12M
SAMEA7003264	ERR4282466	394-3Y
SAMEA7003265	ERR4282467	394-4M
SAMEA7003266	ERR4282468	395-3Y
SAMEA7003267	ERR4282469	395-4M
SAMEA7003268	ERR4282470	395-5Y
SAMEA7003269	ERR4282471	395-M
SAMEA7003270	ERR4282472	39-5Y
SAMEA7003271	ERR4282473	396-12M
SAMEA7003272	ERR4282474	396-3Y
SAMEA7003273	ERR4282475	396-4M
SAMEA7003274	ERR4282476	396-5Y
SAMEA7003275	ERR4282477	397-12M
SAMEA7003276	ERR4282478	397-4M
SAMEA7003277	ERR4282479	397-NB
SAMEA7003278	ERR4282480	397-M
SAMEA7003279	ERR4282481	398-12M
SAMEA7003280	ERR4282482	399-M
SAMEA7003281	ERR4282483	39-NB
SAMEA7003282	ERR4282484	39-M
SAMEA7003283	ERR4282485	3-M
SAMEA7003284	ERR4282486	400-12M
SAMEA7003285	ERR4282487	400-3Y
SAMEA7003286	ERR4282488	400-4M
SAMEA7003287	ERR4282489	400-5Y
SAMEA7003288	ERR4282490	400-M
SAMEA7003289	ERR4282491	40-12M
SAMEA7003290	ERR4282492	40-3Y
SAMEA7003291	ERR4282493	40-4M
SAMEA7003292	ERR4282494	40-5Y
SAMEA7003293	ERR4282495	40-M
SAMEA7003294	ERR4282496	42-12M
SAMEA7003295	ERR4282497	42-3Y
SAMEA7003296	ERR4282498	42-4M
SAMEA7003297	ERR4282499	42-5Y
SAMEA7003298	ERR4282500	42-NB
SAMEA7003299	ERR4282501	42-M
SAMEA7003300	ERR4282502	4-4M
SAMEA7003301	ERR4282503	45-12M
SAMEA7003302	ERR4282504	45-4M
SAMEA7003303	ERR4282505	45-NB
SAMEA7003304	ERR4282506	45-M
SAMEA7003305	ERR4282507	49-12M
SAMEA7003306	ERR4282508	49-4M
SAMEA7003307	ERR4282509	49-5Y
SAMEA7003308	ERR4282510	49-NB
SAMEA7003309	ERR4282511	49-M
SAMEA7003310	ERR4282512	4-NB
SAMEA7003311	ERR4282513	4-M
SAMEA7003312	ERR4282514	502-12M
SAMEA7003313	ERR4282515	502-4M
SAMEA7003314	ERR4282516	502-M
SAMEA7003315	ERR4282517	503-12M
SAMEA7003316	ERR4282518	503-3Y
SAMEA7003317	ERR4282519	503-4M
SAMEA7003318	ERR4282520	503-5Y
SAMEA7003319	ERR4282521	503-NB
SAMEA7003320	ERR4282522	503-M
SAMEA7003321	ERR4282523	504-12M
SAMEA7003322	ERR4282524	504-3Y
SAMEA7003323	ERR4282525	504-4M
SAMEA7003324	ERR4282526	504-NB
SAMEA7003325	ERR4282527	504-M
SAMEA7003326	ERR4282528	507-12M
SAMEA7003327	ERR4282529	507-3Y
SAMEA7003328	ERR4282530	507-4M
SAMEA7003329	ERR4282531	507-5Y
SAMEA7003330	ERR4282532	507-NB
SAMEA7003331	ERR4282533	507-M
SAMEA7003332	ERR4282534	508-12M
SAMEA7003333	ERR4282535	508-4M
SAMEA7003334	ERR4282536	509-12M
SAMEA7003335	ERR4282537	509-3Y
SAMEA7003336	ERR4282538	509-4M
SAMEA7003337	ERR4282539	509-5Y
SAMEA7003338	ERR4282540	509-M
SAMEA7003339	ERR4282541	510-12M
SAMEA7003340	ERR4282542	510-4M
SAMEA7003341	ERR4282543	510-NB
SAMEA7003342	ERR4282544	510-M
SAMEA7003343	ERR4282545	511-12M
SAMEA7003344	ERR4282546	51-12M
SAMEA7003345	ERR4282547	511-3Y
SAMEA7003346	ERR4282548	511-5Y
SAMEA7003347	ERR4282549	511-M
SAMEA7003348	ERR4282550	512-12M
SAMEA7003349	ERR4282551	512-3Y
SAMEA7003350	ERR4282552	512-5Y
SAMEA7003351	ERR4282553	512-NB
SAMEA7003352	ERR4282554	512-M
SAMEA7003353	ERR4282555	513-12M
SAMEA7003354	ERR4282556	513-3Y
SAMEA7003355	ERR4282557	513-4M
SAMEA7003356	ERR4282558	513-5Y
SAMEA7003357	ERR4282559	513-M
SAMEA7003358	ERR4282560	51-3Y
SAMEA7003359	ERR4282561	51-4M
SAMEA7003360	ERR4282562	515-12M
SAMEA7003361	ERR4282563	515-4M
SAMEA7003362	ERR4282564	515-M
SAMEA7003363	ERR4282565	516-12M
SAMEA7003364	ERR4282566	516-4M
SAMEA7003365	ERR4282567	517-12M
SAMEA7003366	ERR4282568	517-3Y
SAMEA7003367	ERR4282569	518-12M
SAMEA7003368	ERR4282570	518-4M
SAMEA7003369	ERR4282571	518-NB
SAMEA7003370	ERR4282572	51-NB
SAMEA7003371	ERR4282573	51-M
SAMEA7003372	ERR4282574	520-12M
SAMEA7003373	ERR4282575	520-3Y
SAMEA7003374	ERR4282576	520-5Y
SAMEA7003375	ERR4282577	521-12M
SAMEA7003376	ERR4282578	521-3Y
SAMEA7003377	ERR4282579	521-M
SAMEA7003378	ERR4282580	522-12M
SAMEA7003379	ERR4282581	522-3Y
SAMEA7003380	ERR4282582	522-4M
SAMEA7003381	ERR4282583	522-5Y
SAMEA7003382	ERR4282584	522-NB
SAMEA7003383	ERR4282585	522-M
SAMEA7003384	ERR4282586	523-12M
SAMEA7003385	ERR4282587	523-3Y
SAMEA7003386	ERR4282588	523-4M
SAMEA7003387	ERR4282589	523-NB
SAMEA7003388	ERR4282590	523-M
SAMEA7003389	ERR4282591	524-12M
SAMEA7003390	ERR4282592	524-4M
SAMEA7003391	ERR4282593	526-4M
SAMEA7003392	ERR4282594	526-M
SAMEA7003393	ERR4282595	527-12M
SAMEA7003394	ERR4282596	527-M
SAMEA7003395	ERR4282597	529-12M
SAMEA7003396	ERR4282598	529-3Y
SAMEA7003397	ERR4282599	529-4M
SAMEA7003398	ERR4282600	529-M
SAMEA7003399	ERR4282601	530-12M
SAMEA7003400	ERR4282602	530-4M
SAMEA7003401	ERR4282603	530-5Y
SAMEA7003402	ERR4282604	53-12M
SAMEA7003403	ERR4282605	531-3Y
SAMEA7003404	ERR4282606	531-4M
SAMEA7003405	ERR4282607	531-5Y
SAMEA7003406	ERR4282608	531-M
SAMEA7003407	ERR4282609	532-4M
SAMEA7003408	ERR4282610	532-5Y
SAMEA7003409	ERR4282611	533-12M
SAMEA7003410	ERR4282612	533-3Y
SAMEA7003411	ERR4282613	533-4M
SAMEA7003412	ERR4282614	533-5Y
SAMEA7003413	ERR4282615	53-3Y
SAMEA7003414	ERR4282616	53-4M
SAMEA7003415	ERR4282617	535-12M
SAMEA7003416	ERR4282618	535-3Y
SAMEA7003417	ERR4282619	535-4M
SAMEA7003418	ERR4282620	53-5Y
SAMEA7003419	ERR4282621	536-12M
SAMEA7003420	ERR4282622	536-3Y
SAMEA7003421	ERR4282623	536-M
SAMEA7003422	ERR4282624	537-12M
SAMEA7003423	ERR4282625	537-3Y
SAMEA7003424	ERR4282626	537-4M
SAMEA7003425	ERR4282627	537-NB
SAMEA7003426	ERR4282628	537-M
SAMEA7003427	ERR4282629	538-12M
SAMEA7003428	ERR4282630	538-NB
SAMEA7003429	ERR4282631	539-12M
SAMEA7003430	ERR4282632	539-3Y
SAMEA7003431	ERR4282633	539-4M
SAMEA7003432	ERR4282634	539-M
SAMEA7003433	ERR4282635	53-NB
SAMEA7003434	ERR4282636	53-M
SAMEA7003435	ERR4282637	540-12M
SAMEA7003436	ERR4282638	540-3Y
SAMEA7003437	ERR4282639	540-4M
SAMEA7003438	ERR4282640	540-5Y
SAMEA7003439	ERR4282641	540-NB
SAMEA7003440	ERR4282642	540-M
SAMEA7003441	ERR4282643	541-12M
SAMEA7003442	ERR4282644	54-12M
SAMEA7003443	ERR4282645	541-4M
SAMEA7003444	ERR4282646	542-12M
SAMEA7003445	ERR4282647	542-4M
SAMEA7003446	ERR4282648	542-M
SAMEA7003447	ERR4282649	543-12M
SAMEA7003448	ERR4282650	543-3Y
SAMEA7003449	ERR4282651	543-4M
SAMEA7003450	ERR4282652	543-5Y
SAMEA7003451	ERR4282653	543-NB
SAMEA7003452	ERR4282654	543-M
SAMEA7003453	ERR4282655	54-3Y
SAMEA7003454	ERR4282656	544-12M
SAMEA7003455	ERR4282657	544-3Y
SAMEA7003456	ERR4282658	544-5Y
SAMEA7003457	ERR4282659	54-4M
SAMEA7003458	ERR4282660	545-M
SAMEA7003459	ERR4282661	54-5Y
SAMEA7003460	ERR4282662	546-3Y
SAMEA7003461	ERR4282663	546-M
SAMEA7003462	ERR4282664	548-12M
SAMEA7003463	ERR4282665	548-3Y
SAMEA7003464	ERR4282666	548-4M
SAMEA7003465	ERR4282667	548-5Y
SAMEA7003466	ERR4282668	548-M
SAMEA7003467	ERR4282669	549-12M
SAMEA7003468	ERR4282670	549-4M
SAMEA7003469	ERR4282671	549-NB
SAMEA7003470	ERR4282672	549-M
SAMEA7003471	ERR4282673	54-NB
SAMEA7003472	ERR4282674	54-M
SAMEA7003473	ERR4282675	551-12M
SAMEA7003474	ERR4282676	55-12M
SAMEA7003475	ERR4282677	551-3Y
SAMEA7003476	ERR4282678	551-4M
SAMEA7003477	ERR4282679	551-5Y
SAMEA7003478	ERR4282680	551-M
SAMEA7003479	ERR4282681	553-12M
SAMEA7003480	ERR4282682	553-3Y
SAMEA7003481	ERR4282683	553-4M
SAMEA7003482	ERR4282684	553-5Y
SAMEA7003483	ERR4282685	554-12M
SAMEA7003484	ERR4282686	554-4M
SAMEA7003485	ERR4282687	554-NB
SAMEA7003486	ERR4282688	55-4M
SAMEA7003487	ERR4282689	554-M
SAMEA7003488	ERR4282690	555-12M
SAMEA7003489	ERR4282691	555-4M
SAMEA7003490	ERR4282692	555-M
SAMEA7003491	ERR4282693	556-3Y
SAMEA7003492	ERR4282694	556-5Y
SAMEA7003493	ERR4282695	558-3Y
SAMEA7003494	ERR4282696	558-4M
SAMEA7003495	ERR4282697	559-12M
SAMEA7003496	ERR4282698	559-3Y
SAMEA7003497	ERR4282699	559-5Y
SAMEA7003498	ERR4282700	55-NB
SAMEA7003499	ERR4282701	55-M
SAMEA7003500	ERR4282702	560-12M
SAMEA7003501	ERR4282703	562-3Y
SAMEA7003502	ERR4282704	562-4M
SAMEA7003503	ERR4282705	562-5Y
SAMEA7003504	ERR4282706	563-12M
SAMEA7003505	ERR4282707	563-4M
SAMEA7003506	ERR4282708	564-12M
SAMEA7003507	ERR4282709	564-4M
SAMEA7003508	ERR4282710	564-M
SAMEA7003509	ERR4282711	565-12M
SAMEA7003510	ERR4282712	565-3Y
SAMEA7003511	ERR4282713	566-12M
SAMEA7003512	ERR4282714	566-3Y
SAMEA7003513	ERR4282715	566-5Y
SAMEA7003514	ERR4282716	567-12M
SAMEA7003515	ERR4282717	567-3Y
SAMEA7003516	ERR4282718	567-5Y
SAMEA7003517	ERR4282719	568-3Y
SAMEA7003518	ERR4282720	568-4M
SAMEA7003519	ERR4282721	568-5Y
SAMEA7003520	ERR4282722	568-NB
SAMEA7003521	ERR4282723	569-3Y
SAMEA7003522	ERR4282724	570-12M
SAMEA7003523	ERR4282725	571-4M
SAMEA7003524	ERR4282726	571-NB
SAMEA7003525	ERR4282727	572-12M
SAMEA7003526	ERR4282728	572-3Y
SAMEA7003527	ERR4282729	572-4M
SAMEA7003528	ERR4282730	572-5Y
SAMEA7003529	ERR4282731	572-M
SAMEA7003530	ERR4282732	573-12M
SAMEA7003531	ERR4282733	573-3Y
SAMEA7003532	ERR4282734	573-4M
SAMEA7003533	ERR4282735	573-5Y
SAMEA7003534	ERR4282736	573-NB
SAMEA7003535	ERR4282737	573-M
SAMEA7003536	ERR4282738	574-4M
SAMEA7003537	ERR4282739	574-M
SAMEA7003538	ERR4282740	575-12M
SAMEA7003539	ERR4282741	575-3Y
SAMEA7003540	ERR4282742	575-4M
SAMEA7003541	ERR4282743	575-5Y
SAMEA7003542	ERR4282744	575-NB
SAMEA7003543	ERR4282745	577-12M
SAMEA7003544	ERR4282746	577-3Y
SAMEA7003545	ERR4282747	577-5Y
SAMEA7003546	ERR4282748	577-M
SAMEA7003547	ERR4282749	579-4M
SAMEA7003548	ERR4282750	579-NB
SAMEA7003549	ERR4282751	579-M
SAMEA7003550	ERR4282752	580-3Y
SAMEA7003551	ERR4282753	580-4M
SAMEA7003552	ERR4282754	582-12M
SAMEA7003553	ERR4282755	582-3Y
SAMEA7003554	ERR4282756	582-4M
SAMEA7003555	ERR4282757	582-5Y
SAMEA7003556	ERR4282758	582-NB
SAMEA7003557	ERR4282759	582-M
SAMEA7003558	ERR4282760	583-12M
SAMEA7003559	ERR4282761	583-4M
SAMEA7003560	ERR4282762	583-NB
SAMEA7003561	ERR4282763	583-M
SAMEA7003562	ERR4282764	585-12M
SAMEA7003563	ERR4282765	585-4M
SAMEA7003564	ERR4282766	585-NB
SAMEA7003565	ERR4282767	585-M
SAMEA7003566	ERR4282768	586-12M
SAMEA7003567	ERR4282769	586-3Y
SAMEA7003568	ERR4282770	586-4M
SAMEA7003569	ERR4282771	586-5Y
SAMEA7003570	ERR4282772	586-NB
SAMEA7003571	ERR4282773	586-M
SAMEA7003572	ERR4282774	587-12M
SAMEA7003573	ERR4282775	587-3Y
SAMEA7003574	ERR4282776	587-4M
SAMEA7003575	ERR4282777	587-5Y
SAMEA7003576	ERR4282778	587-M
SAMEA7003577	ERR4282779	589-12M
SAMEA7003578	ERR4282780	589-3Y
SAMEA7003579	ERR4282781	589-4M
SAMEA7003580	ERR4282782	589-5Y
SAMEA7003581	ERR4282783	589-NB
SAMEA7003582	ERR4282784	590-12M
SAMEA7003583	ERR4282785	590-3Y
SAMEA7003584	ERR4282786	590-5Y
SAMEA7003585	ERR4282787	590-M
SAMEA7003586	ERR4282788	59-12M
SAMEA7003587	ERR4282789	591-4M
SAMEA7003588	ERR4282790	591-M
SAMEA7003589	ERR4282791	592-12M
SAMEA7003590	ERR4282792	592-3Y
SAMEA7003591	ERR4282793	592-4M
SAMEA7003592	ERR4282794	592-5Y
SAMEA7003593	ERR4282795	592-M
SAMEA7003594	ERR4282796	593-12M
SAMEA7003595	ERR4282797	593-3Y
SAMEA7003596	ERR4282798	593-4M
SAMEA7003597	ERR4282799	593-5Y
SAMEA7003598	ERR4282800	593-NB
SAMEA7003599	ERR4282801	593-M
SAMEA7003600	ERR4282802	59-3Y
SAMEA7003601	ERR4282803	59-4M
SAMEA7003602	ERR4282804	595-3Y
SAMEA7003603	ERR4282805	595-4M
SAMEA7003604	ERR4282806	595-M
SAMEA7003605	ERR4282807	59-5Y
SAMEA7003606	ERR4282808	596-12M
SAMEA7003607	ERR4282809	596-4M
SAMEA7003608	ERR4282810	596-M
SAMEA7003609	ERR4282811	597-12M
SAMEA7003610	ERR4282812	597-3Y
SAMEA7003611	ERR4282813	597-4M
SAMEA7003612	ERR4282814	597-M
SAMEA7003613	ERR4282815	598-12M
SAMEA7003614	ERR4282816	598-3Y
SAMEA7003615	ERR4282817	598-5Y
SAMEA7003616	ERR4282818	598-M
SAMEA7003617	ERR4282819	599-12M
SAMEA7003618	ERR4282820	599-3Y
SAMEA7003619	ERR4282821	599-4M
SAMEA7003620	ERR4282822	599-5Y
SAMEA7003621	ERR4282823	599-M
SAMEA7003622	ERR4282824	59-M
SAMEA7003623	ERR4282825	600-12M
SAMEA7003624	ERR4282826	600-3Y
SAMEA7003625	ERR4282827	600-4M
SAMEA7003626	ERR4282828	600-5Y
SAMEA7003627	ERR4282829	600-M
SAMEA7003628	ERR4282830	60-12M
SAMEA7003629	ERR4282831	601-3Y
SAMEA7003630	ERR4282832	601-4M
SAMEA7003631	ERR4282833	601-5Y
SAMEA7003632	ERR4282834	602-12M
SAMEA7003633	ERR4282835	602-3Y
SAMEA7003634	ERR4282836	602-4M
SAMEA7003635	ERR4282837	602-5Y
SAMEA7003636	ERR4282838	602-M
SAMEA7003637	ERR4282839	603-12M
SAMEA7003638	ERR4282840	603-4M
SAMEA7003639	ERR4282841	603-NB
SAMEA7003640	ERR4282842	603-M
SAMEA7003641	ERR4282843	60-4M
SAMEA7003642	ERR4282844	60-5Y
SAMEA7003643	ERR4282845	608-12M
SAMEA7003644	ERR4282846	608-3Y
SAMEA7003645	ERR4282847	608-4M
SAMEA7003646	ERR4282848	608-5Y
SAMEA7003647	ERR4282849	608-M
SAMEA7003648	ERR4282850	609-12M
SAMEA7003649	ERR4282851	609-3Y
SAMEA7003650	ERR4282852	609-4M
SAMEA7003651	ERR4282853	609-5Y
SAMEA7003652	ERR4282854	609-NB
SAMEA7003653	ERR4282855	609-M
SAMEA7003654	ERR4282856	60-M
SAMEA7003655	ERR4282857	610-12M
SAMEA7003656	ERR4282858	610-4M
SAMEA7003657	ERR4282859	610-NB
SAMEA7003658	ERR4282860	61-12M
SAMEA7003659	ERR4282861	611-3Y
SAMEA7003660	ERR4282862	611-4M
SAMEA7003661	ERR4282863	611-5Y
SAMEA7003662	ERR4282864	611-NB
SAMEA7003663	ERR4282865	611-M
SAMEA7003664	ERR4282866	612-12M
SAMEA7003665	ERR4282867	612-4M
SAMEA7003666	ERR4282868	612-5Y
SAMEA7003667	ERR4282869	612-NB
SAMEA7003668	ERR4282870	613-12M
SAMEA7003669	ERR4282871	613-3Y
SAMEA7003670	ERR4282872	613-4M
SAMEA7003671	ERR4282873	613-5Y
SAMEA7003672	ERR4282874	613-M
SAMEA7003673	ERR4282875	61-3Y
SAMEA7003674	ERR4282876	614-12M
SAMEA7003675	ERR4282877	614-3Y
SAMEA7003676	ERR4282878	614-4M
SAMEA7003677	ERR4282879	614-5Y
SAMEA7003678	ERR4282880	61-4M
SAMEA7003679	ERR4282881	614-M
SAMEA7003680	ERR4282882	615-12M
SAMEA7003681	ERR4282883	615-4M
SAMEA7003682	ERR4282884	61-5Y
SAMEA7003683	ERR4282885	616-12M
SAMEA7003684	ERR4282886	616-3Y
SAMEA7003685	ERR4282887	616-4M
SAMEA7003686	ERR4282888	616-5Y
SAMEA7003687	ERR4282889	617-12M
SAMEA7003688	ERR4282890	617-3Y
SAMEA7003689	ERR4282891	617-5Y
SAMEA7003690	ERR4282892	617-M
SAMEA7003691	ERR4282893	618-12M
SAMEA7003692	ERR4282894	618-3Y
SAMEA7003693	ERR4282895	618-4M
SAMEA7003694	ERR4282896	618-NB
SAMEA7003695	ERR4282897	618-M
SAMEA7003696	ERR4282898	61-M
SAMEA7003697	ERR4282899	621-12M
SAMEA7003698	ERR4282900	621-3Y
SAMEA7003699	ERR4282901	621-4M
SAMEA7003700	ERR4282902	621-5Y
SAMEA7003701	ERR4282903	622-12M
SAMEA7003702	ERR4282904	622-3Y
SAMEA7003703	ERR4282905	622-5Y
SAMEA7003704	ERR4282906	623-4M
SAMEA7003705	ERR4282907	623-NB
SAMEA7003706	ERR4282908	623-M
SAMEA7003707	ERR4282909	624-12M
SAMEA7003708	ERR4282910	624-M
SAMEA7003709	ERR4282911	626-3Y
SAMEA7003710	ERR4282912	626-4M
SAMEA7003711	ERR4282913	626-5Y
SAMEA7003712	ERR4282914	626-M
SAMEA7003713	ERR4282915	627-12M
SAMEA7003714	ERR4282916	627-3Y
SAMEA7003715	ERR4282917	627-4M
SAMEA7003716	ERR4282918	628-3Y
SAMEA7003717	ERR4282919	628-4M
SAMEA7003718	ERR4282920	628-5Y
SAMEA7003719	ERR4282921	628-M
SAMEA7003720	ERR4282922	629-12M
SAMEA7003721	ERR4282923	629-4M
SAMEA7003722	ERR4282924	629-NB
SAMEA7003723	ERR4282925	629-M
SAMEA7003724	ERR4282926	630-12M
SAMEA7003725	ERR4282927	630-3Y
SAMEA7003726	ERR4282928	630-4M
SAMEA7003727	ERR4282929	630-5Y
SAMEA7003728	ERR4282930	631-4M
SAMEA7003729	ERR4282931	631-5Y
SAMEA7003730	ERR4282932	631-NB
SAMEA7003731	ERR4282933	631-M
SAMEA7003732	ERR4282934	633-3Y
SAMEA7003733	ERR4282935	633-M
SAMEA7003734	ERR4282936	634-3Y
SAMEA7003735	ERR4282937	634-4M
SAMEA7003736	ERR4282938	634-M
SAMEA7003737	ERR4282939	635-12M
SAMEA7003738	ERR4282940	636-12M
SAMEA7003739	ERR4282941	636-3Y
SAMEA7003740	ERR4282942	636-4M
SAMEA7003741	ERR4282943	636-5Y
SAMEA7003742	ERR4282944	636-M
SAMEA7003743	ERR4282945	637-12M
SAMEA7003744	ERR4282946	637-3Y
SAMEA7003745	ERR4282947	637-5Y
SAMEA7003746	ERR4282948	638-12M
SAMEA7003747	ERR4282949	638-4M
SAMEA7003748	ERR4282950	639-12M
SAMEA7003749	ERR4282951	639-3Y
SAMEA7003750	ERR4282952	639-4M
SAMEA7003751	ERR4282953	639-5Y
SAMEA7003752	ERR4282954	639-M
SAMEA7003753	ERR4282955	640-12M
SAMEA7003754	ERR4282956	640-3Y
SAMEA7003755	ERR4282957	640-5Y
SAMEA7003756	ERR4282958	67-12M
SAMEA7003757	ERR4282959	67-3Y
SAMEA7003758	ERR4282960	67-4M
SAMEA7003759	ERR4282961	67-5Y
SAMEA7003760	ERR4282962	67-M
SAMEA7003761	ERR4282963	69-12M
SAMEA7003762	ERR4282964	69-3Y
SAMEA7003763	ERR4282965	69-4M
SAMEA7003764	ERR4282966	69-5Y
SAMEA7003765	ERR4282967	69-M
