,root:12M,root:3Y,root:4M,root:5Y,root:B,root:M
ERR4282640,0.06959826,0.2290518,0.021615814,0.4917028,0.02722543,0.16080585
ERR4282641,0.0047768364,0.012569389,0.021567287,0.016146513,0.9097693,0.03517061
ERR4282642,0.19881235,0.16431525,0.16190419,0.17750308,0.16058277,0.1368824
ERR4282643,0.088138856,0.3291256,0.026294922,0.34631962,0.016207937,0.19391307
ERR4282644,0.7239235,0.06564187,0.13616669,0.015737025,0.0058908667,0.05263998
ERR4282645,0.6950446,0.05015348,0.12251525,0.022984983,0.026207441,0.08309418
ERR4282646,0.66129124,0.049408406,0.056959372,0.025516696,0.048326775,0.15849747
ERR4282647,0.14681289,0.046924826,0.68038315,0.015980894,0.072727315,0.037170894
ERR4282648,0.65910923,0.08295948,0.084562644,0.044776894,0.023649212,0.10494251
ERR4282649,0.06649991,0.026350934,0.84715146,0.007906372,0.03314448,0.01894679
ERR4282650,0.16198096,0.04302649,0.018181223,0.087471575,0.22727038,0.46206942
ERR4282651,0.05371024,0.014914895,0.87823546,0.0053579984,0.031865403,0.01591598
ERR4282652,0.07840561,0.26050225,0.019704117,0.4845855,0.016502764,0.14029971
ERR4282653,0.0045488286,0.0122366985,0.01968875,0.016587466,0.9129142,0.034024034
ERR4282654,0.06420407,0.3019847,0.039081063,0.08854173,0.009594189,0.49659425
ERR4282655,0.051085014,0.00804162,0.8944065,0.0034812498,0.029381188,0.013604418
ERR4282656,0.25796834,0.43670186,0.053454217,0.123443425,0.006786003,0.12164623
ERR4282657,0.06779812,0.18087538,0.014732852,0.5687524,0.026660072,0.14118119
ERR4282658,0.0668284,0.18096824,0.016615665,0.516737,0.041403305,0.17744747
ERR4282659,0.07504903,0.02927245,0.8343049,0.008469137,0.0324703,0.020434117
ERR4282660,0.1229258,0.35882026,0.03276521,0.31617406,0.015272808,0.1540418
ERR4282661,0.07438186,0.2221667,0.015960375,0.5500732,0.017842107,0.11957573
ERR4282662,0.6347443,0.117938995,0.11791974,0.036606282,0.008541702,0.08424891
ERR4282663,0.6875391,0.07290145,0.14779031,0.024401942,0.0097164735,0.057650726
ERR4282664,0.14578897,0.294484,0.026973726,0.24736412,0.031706974,0.25368226
ERR4282665,0.14031243,0.30157405,0.02616094,0.2208733,0.025417032,0.28566226
ERR4282666,0.061005335,0.035758927,0.8365989,0.009528226,0.03520568,0.021902837
ERR4282667,0.07882651,0.22730707,0.020465508,0.40962937,0.024043808,0.23972772
ERR4282668,0.06911239,0.13584258,0.014307676,0.18787295,0.09275389,0.50011045
ERR4282669,0.089490615,0.040889543,0.7608131,0.01616602,0.057218578,0.035422165
ERR4282670,0.05852127,0.019388843,0.19001134,0.015629528,0.62095916,0.09548991
ERR4282671,0.72729737,0.055106744,0.08760342,0.029800417,0.02174682,0.07844523
ERR4282672,0.06625516,0.19590569,0.025070954,0.18117775,0.032088123,0.49950233
ERR4282673,0.32527635,0.032813817,0.052846126,0.06880816,0.39708805,0.12316753
ERR4282674,0.10101014,0.13508074,0.019464808,0.117423736,0.047445137,0.5795754
ERR4282675,0.16783194,0.0776769,0.61173743,0.033657487,0.04879551,0.06030072
ERR4282676,0.07728801,0.25064167,0.026276335,0.3189278,0.024481485,0.30238464
ERR4282677,0.35702506,0.17386998,0.05739881,0.107713,0.0444973,0.25949582
ERR4282678,0.1322394,0.061680287,0.6815848,0.023009647,0.048133597,0.053352214
ERR4282679,0.13223372,0.42139235,0.03164804,0.16000682,0.010694076,0.24402498
ERR4282680,0.046494212,0.050846007,0.011949405,0.10226983,0.29318336,0.4952572
ERR4282681,0.13249087,0.39178815,0.026243916,0.24611922,0.01243079,0.19092713
ERR4282682,0.30806693,0.25545728,0.039589465,0.16083707,0.021335032,0.21471421
ERR4282683,0.06265408,0.017502135,0.84225434,0.007919577,0.048908163,0.02076171
ERR4282684,0.080580115,0.2565379,0.018970983,0.47870368,0.017520625,0.14768673
ERR4282685,0.025660403,0.030596657,0.02188532,0.0536804,0.72423756,0.14393972
ERR4282686,0.2598997,0.063769184,0.5985426,0.014005691,0.029126769,0.034656085
ERR4282687,0.034090925,0.052150264,0.007086961,0.08704491,0.110734686,0.7088922
ERR4282688,0.09546023,0.03390676,0.8064601,0.00946223,0.03139233,0.023318376
ERR4282689,0.7015658,0.050772317,0.0683501,0.031142551,0.037900127,0.11026911
ERR4282690,0.6405523,0.068946056,0.20820214,0.019284744,0.012386341,0.05062844
ERR4282691,0.53739935,0.07821495,0.29967213,0.018988593,0.01543058,0.050294373
ERR4282692,0.6911061,0.06339793,0.0725061,0.03731808,0.028977023,0.10669479
ERR4282693,0.27157462,0.25655058,0.042538296,0.09021233,0.016482368,0.32264188
ERR4282694,0.1492928,0.4625281,0.025396783,0.19430898,0.008817811,0.1596555
ERR4282695,0.7135103,0.06581053,0.11588729,0.026198527,0.011714463,0.06687902
ERR4282696,0.6993185,0.039912876,0.08339999,0.010213528,0.037580397,0.12957467
ERR4282697,0.73555434,0.05693049,0.12005639,0.02188023,0.010797852,0.054780714
ERR4282698,0.63238937,0.076663725,0.17001827,0.026737435,0.009681907,0.08450931
ERR4282699,0.06959871,0.2028018,0.015813394,0.5671462,0.020222213,0.12441767
ERR4282700,0.13778864,0.12478217,0.280349,0.11795146,0.26083586,0.078292824
ERR4282701,0.6200054,0.081923865,0.097582065,0.040715463,0.0259738,0.13379936
ERR4282702,0.72779024,0.050357897,0.083057776,0.02771275,0.025469944,0.08561138
ERR4282703,0.38633114,0.2720797,0.080895044,0.08690814,0.010281105,0.16350487
ERR4282704,0.17977913,0.15860939,0.3072881,0.07853841,0.011357074,0.26442796
ERR4282705,0.053986575,0.023597492,0.8665092,0.0070443903,0.032134607,0.016727727
ERR4282706,0.67555827,0.06983708,0.1746883,0.018721199,0.009343348,0.05185177
ERR4282707,0.06291987,0.01480888,0.37151232,0.011899989,0.469868,0.06899095
ERR4282708,0.7444214,0.056450523,0.12315236,0.016310357,0.00784213,0.051823247
ERR4282709,0.032427765,0.020529192,0.8943167,0.0060923123,0.026120326,0.020513808
ERR4282710,0.08498888,0.2814199,0.027091641,0.30565566,0.025908677,0.2749352
ERR4282711,0.0733157,0.17335203,0.014205846,0.47456214,0.049928386,0.21463586
ERR4282712,0.113197014,0.32463935,0.026990961,0.23670296,0.018012734,0.28045687
ERR4282713,0.73923326,0.058050245,0.097375475,0.027320178,0.013817964,0.06420285
ERR4282714,0.08007605,0.21427245,0.017882245,0.42720258,0.029165883,0.23140077
