,root:12M:C,root:12M:V,root:3Y:C,root:3Y:V,root:4M:C,root:4M:V,root:5Y:C,root:5Y:V,root:B:C,root:B:V
ERR4281844,0.36511204,0.24257305,0.11310976,0.029615127,0.067106456,0.018354014,0.03369567,0.033335928,0.0645787,0.032519262
ERR4281845,0.18343522,0.12314116,0.3509424,0.036707368,0.076322064,0.009389097,0.04290144,0.031066906,0.10638117,0.039713185
ERR4281846,0.027301667,0.081852354,0.0064704632,0.029495757,0.091970846,0.6621023,0.03257303,0.016993962,0.018001119,0.03323854
ERR4281847,0.05706692,0.084351614,0.49894717,0.03189363,0.060551025,0.008455808,0.1507652,0.051238067,0.03907066,0.017659888
ERR4281848,0.11660968,0.042201392,0.0555832,0.0041733184,0.13429579,0.031420715,0.0040457156,0.020029975,0.55847013,0.033170067
ERR4281849,0.12680276,0.10033938,0.43577045,0.06266367,0.07579565,0.014197359,0.040669758,0.022307707,0.05784816,0.063605145
ERR4281850,0.20632371,0.3714476,0.029039139,0.051728956,0.06355207,0.17045099,0.02551655,0.037157398,0.021546736,0.02323694
ERR4281851,0.16534728,0.42844436,0.102580234,0.08558809,0.035756323,0.03145195,0.075489745,0.03968181,0.011996545,0.02366367
ERR4281852,0.086083494,0.36549908,0.041292693,0.30521137,0.010450155,0.036824577,0.073376514,0.06144414,0.0052067745,0.014611055
ERR4281853,0.058268297,0.021371564,0.019468445,0.011727926,0.3985633,0.21098001,0.017596671,0.007990459,0.16973646,0.0842968
ERR4281854,0.15384468,0.476245,0.109198205,0.0705145,0.03202553,0.023811886,0.07496927,0.026368568,0.009389422,0.023632906
ERR4281855,0.030599147,0.040845647,0.024171075,0.011093372,0.3121277,0.38316223,0.024827503,0.009879455,0.09806897,0.065224975
ERR4281856,0.1136359,0.1752327,0.25961047,0.0790417,0.114949286,0.06774264,0.067168765,0.028145084,0.029344749,0.06512878
ERR4281857,0.09728709,0.23168616,0.076124996,0.087433204,0.1010753,0.20804076,0.07514845,0.052409887,0.023101145,0.047693048
