,root:3Y,root:4M,root:B
ERR4282476,0.41258317,0.10061662,0.48680025
ERR4282489,0.44330007,0.26952803,0.28717187
ERR4282494,0.33780706,0.33824277,0.32395017
ERR4282499,0.44407275,0.26393348,0.2919938
ERR4282509,0.4463841,0.2064102,0.34720564
ERR4282520,0.44330007,0.26952803,0.28717187
ERR4282548,0.4438337,0.2656976,0.29046866
ERR4282576,0.33780706,0.33824277,0.32395017
ERR4282583,0.33780706,0.33824277,0.32395017
ERR4282603,0.33780706,0.33824277,0.32395017
ERR4282607,0.44330364,0.26950327,0.28719306
ERR4282652,0.4434239,0.25585857,0.30071756
ERR4282661,0.44330007,0.26952803,0.28717187
ERR4282667,0.33780706,0.33824277,0.32395017
ERR4282679,0.33780706,0.33824277,0.32395017
ERR4282694,0.44339472,0.26887217,0.28773317
ERR4282715,0.44330058,0.26952428,0.2871751
ERR4282718,0.33780706,0.33824277,0.32395017
ERR4282730,0.33780706,0.33824277,0.32395017
ERR4282735,0.44330007,0.26952803,0.28717187
ERR4282757,0.3384566,0.15807192,0.50347155
ERR4282777,0.33780706,0.33824277,0.32395017
ERR4282782,0.44394654,0.2644204,0.291633
ERR4282786,0.44700322,0.22862633,0.32437047
ERR4282794,0.44330007,0.26952803,0.28717187
ERR4282807,0.33780706,0.33824277,0.32395017
ERR4282822,0.33780706,0.33824277,0.32395017
ERR4282828,0.43767634,0.16646451,0.3958591
ERR4282833,0.33780706,0.33824277,0.32395017
ERR4282837,0.33780706,0.33824277,0.32395017
ERR4282844,0.439966,0.19946401,0.36057004
ERR4282863,0.06059665,0.59875816,0.3406451
ERR4282873,0.07852449,0.8298225,0.09165301
ERR4282879,0.33780706,0.33824277,0.32395017
ERR4282884,0.1144516,0.49289003,0.3926584
ERR4282888,0.44065592,0.23104902,0.32829508
ERR4282891,0.33780706,0.33824277,0.32395017
ERR4282902,0.08420607,0.83831674,0.077477254
ERR4282905,0.15421304,0.63909847,0.20668855
ERR4282913,0.07563554,0.7044587,0.21990569
ERR4282920,0.4471054,0.22305754,0.32983702
ERR4282929,0.33780706,0.33824277,0.32395017
ERR4282931,0.33780706,0.33824277,0.32395017
ERR4282943,0.07439003,0.8378558,0.08775411
ERR4282947,0.44330007,0.26952803,0.28717187
ERR4282953,0.44342577,0.2686553,0.28791898
ERR4282961,0.33780706,0.33824277,0.32395017
ERR4282966,0.33780706,0.33824277,0.32395017
ERR4282970,0.4222346,0.14836152,0.4294039
ERR4282977,0.33780706,0.33824277,0.32395017
ERR4282982,0.33780706,0.33824277,0.32395017
ERR4282986,0.44330007,0.26952803,0.28717187
ERR4282997,0.33780706,0.33824277,0.32395017
ERR4283001,0.44680184,0.21200888,0.34118927
ERR4283007,0.43632635,0.14671212,0.41696155
ERR4283019,0.33780706,0.33824277,0.32395017
ERR4283025,0.44330007,0.26952803,0.28717187
ERR4283032,0.33780706,0.33824277,0.32395017
ERR4283036,0.088072024,0.82333285,0.0885952
ERR4283043,0.44515714,0.22655626,0.32828662
ERR4283048,0.4453507,0.24923277,0.30541652
