Unnamed: 0,Env,Contribution,mode
ERR4281502,root:4M,0.5644903,C
ERR4281507,root:4M,0.22853489,C
ERR4281513,root:4M,0.5644903,C
ERR4281519,root:4M,0.56441367,C
ERR4281531,root:4M,0.24588597,C
ERR4281539,root:4M,0.4441218,C
ERR4281543,root:4M,0.42846474,C
ERR4281549,root:4M,0.5644863,C
ERR4281555,root:4M,0.12712342,C
ERR4281561,root:4M,0.21565595,C
ERR4281570,root:4M,0.3473331,C
ERR4281576,root:4M,0.03062841,C
ERR4281580,root:4M,0.5644903,C
ERR4281585,root:4M,0.5643991,C
ERR4281586,root:4M,0.5644903,C
ERR4281593,root:4M,0.564445,C
ERR4281600,root:4M,0.18377948,C
ERR4281605,root:4M,0.16743517,C
ERR4281641,root:4M,0.040387098,C
ERR4281656,root:4M,0.08654676,C
ERR4281665,root:4M,0.55545926,C
ERR4281671,root:4M,0.21103361,C
ERR4281675,root:4M,0.17678605,C
ERR4281682,root:4M,0.36005443,C
ERR4281692,root:4M,0.56516445,C
ERR4281698,root:4M,0.56087345,C
ERR4281917,root:4M,0.36405838,C
ERR4282067,root:4M,0.563885,C
ERR4282523,root:4M,0.5644903,C
ERR4282528,root:4M,0.5644903,C
ERR4282534,root:4M,0.5369936,C
ERR4282541,root:4M,0.5644903,C
ERR4282550,root:4M,0.56422096,C
ERR4282555,root:4M,0.5644726,C
ERR4282562,root:4M,0.18898797,C
ERR4282611,root:4M,0.5644903,C
ERR4282629,root:4M,0.39100882,C
ERR4282637,root:4M,0.25044665,C
ERR4282656,root:4M,0.5644903,C
ERR4282681,root:4M,0.4015248,C
ERR4282697,root:4M,0.5639599,C
ERR4282702,root:4M,0.24879016,C
ERR4282740,root:4M,0.424886,C
ERR4282764,root:4M,0.5644903,C
ERR4282768,root:4M,0.5644903,C
ERR4282796,root:4M,0.2976131,C
ERR4282815,root:4M,0.5639386,C
ERR4282845,root:4M,0.5644863,C
ERR4282850,root:4M,0.5641555,C
ERR4282866,root:4M,0.36512563,C
ERR4282882,root:4M,0.5644903,C
ERR4282955,root:4M,0.5566795,C
ERR4281055,root:B,0.67255455,C
ERR4281020,root:B,0.43550938,C
ERR4281023,root:B,0.43550974,C
ERR4281026,root:B,0.91164243,C
ERR4281071,root:B,0.55639386,C
ERR4281074,root:B,0.43550974,C
ERR4281076,root:B,0.4355104,C
ERR4281037,root:B,0.43550974,C
ERR4281039,root:B,0.43550974,C
ERR4281042,root:B,0.59322864,C
ERR4281087,root:B,0.7166869,C
ERR4281048,root:B,0.43550974,C
ERR4281094,root:B,0.43550974,C
ERR4281097,root:B,0.43550974,C
ERR4281100,root:B,0.79485357,C
ERR4281101,root:B,0.43550974,C
ERR4281115,root:B,0.43550974,C
ERR4281120,root:B,0.43550974,C
ERR4281128,root:B,0.43550974,C
ERR4281137,root:B,0.43550974,C
ERR4281142,root:B,0.9380665,C
ERR4281149,root:B,0.4355108,C
ERR4281156,root:B,0.76368517,C
ERR4281160,root:B,0.7236247,C
ERR4281167,root:B,0.43550974,C
ERR4281170,root:B,0.6253786,C
ERR4281174,root:B,0.86133033,C
ERR4281178,root:B,0.69874114,C
ERR4281183,root:B,0.43550974,C
ERR4281186,root:B,0.43550974,C
ERR4281193,root:B,0.43585953,C
ERR4281196,root:B,0.43550974,C
ERR4281198,root:B,0.7800965,C
ERR4281203,root:B,0.43557936,C
ERR4281209,root:B,0.43550974,C
ERR4281214,root:B,0.91972774,C
ERR4281221,root:B,0.7994999,C
ERR4281227,root:B,0.62873363,C
ERR4281231,root:B,0.7907589,C
ERR4281237,root:B,0.7980314,C
ERR4281244,root:B,0.4409324,C
ERR4281252,root:B,0.43550974,C
ERR4281257,root:B,0.5975618,C
ERR4281263,root:B,0.80697155,C
ERR4281268,root:B,0.42824954,C
ERR4281272,root:B,0.7870777,C
ERR4281279,root:B,0.4268354,C
ERR4281283,root:B,0.77156377,C
ERR4281290,root:B,0.75987774,C
ERR4281295,root:B,0.88209355,C
ERR4281299,root:B,0.5333648,C
ERR4281305,root:B,0.79429954,C
ERR4281311,root:B,0.4431964,C
ERR4281319,root:B,0.438104,C
ERR4281325,root:B,0.78019875,C
ERR4281334,root:B,0.43537122,C
