Unnamed: 0,Env,Contribution,mode
ERR4281608,root:4M,0.11278221,C
ERR4281617,root:4M,0.16141321,C
ERR4281629,root:4M,0.16076405,C
ERR4281634,root:4M,0.062547214,C
ERR4281646,root:4M,0.04029695,C
ERR4281651,root:4M,0.0758276,C
ERR4281659,root:4M,0.10882654,C
ERR4281685,root:4M,0.056257393,C
ERR4281689,root:4M,0.11278221,C
ERR4281695,root:4M,0.17138295,C
ERR4281920,root:4M,0.051058263,C
ERR4282087,root:4M,0.06512756,C
ERR4282531,root:4M,0.0384372,C
ERR4282552,root:4M,0.03756871,C
ERR4282558,root:4M,0.039047,C
ERR4282610,root:4M,0.19474594,C
ERR4282614,root:4M,0.034448363,C
ERR4282640,root:4M,0.037637968,C
ERR4282658,root:4M,0.04007933,C
ERR4282684,root:4M,0.055278096,C
ERR4282699,root:4M,0.046890568,C
ERR4282705,root:4M,0.06693858,C
ERR4282721,root:4M,0.036470354,C
ERR4282747,root:4M,0.043367837,C
ERR4282771,root:4M,0.027582984,C
ERR4282799,root:4M,0.03446446,C
ERR4282817,root:4M,0.036198165,C
ERR4282848,root:4M,0.058553014,C
ERR4282853,root:4M,0.04498142,C
ERR4282868,root:4M,0.06738808,C
ERR4282957,root:4M,0.041936982,C
ERR4281017,root:B,0.058749057,C
ERR4281064,root:B,0.18690996,C
ERR4281067,root:B,0.7570148,C
ERR4281027,root:B,0.08843867,C
ERR4281030,root:B,0.20413491,C
ERR4281035,root:B,0.35522246,C
ERR4281083,root:B,0.53302133,C
ERR4281043,root:B,0.09457608,C
ERR4281046,root:B,0.056640983,C
ERR4281092,root:B,0.7614007,C
ERR4281053,root:B,0.08250614,C
ERR4281104,root:B,0.10630964,C
ERR4281118,root:B,0.067940556,C
ERR4281123,root:B,0.16419058,C
ERR4281131,root:B,0.3139294,C
ERR4281139,root:B,0.16873945,C
ERR4281152,root:B,0.09812365,C
ERR4281159,root:B,0.08592997,C
ERR4281172,root:B,0.1415703,C
ERR4281177,root:B,0.10923416,C
ERR4281181,root:B,0.068314336,C
ERR4281185,root:B,0.24078271,C
ERR4281189,root:B,0.098862015,C
ERR4281206,root:B,0.1462202,C
ERR4281212,root:B,0.0847227,C
ERR4281234,root:B,0.1690598,C
ERR4281240,root:B,0.10232278,C
ERR4281247,root:B,0.06678149,C
ERR4281260,root:B,0.11366254,C
ERR4281266,root:B,0.12924562,C
ERR4281275,root:B,0.07071037,C
ERR4281282,root:B,0.12182942,C
ERR4281286,root:B,0.25721923,C
ERR4281302,root:B,0.067942075,C
ERR4281308,root:B,0.12501596,C
ERR4281314,root:B,0.25103074,C
ERR4281322,root:B,0.08002542,C
ERR4281329,root:B,0.07438641,C
ERR4281338,root:B,0.09280649,C
ERR4281343,root:B,0.07786582,C
ERR4281358,root:B,0.07268775,C
ERR4281364,root:B,0.15467653,C
ERR4281370,root:B,0.1291533,C
ERR4281377,root:B,0.06691497,C
