Unnamed: 0,Env,Contribution,mode
ERR4281030,root:B,0.27897358,C
ERR4281035,root:B,0.6385208,C
ERR4281083,root:B,0.1763061,C
ERR4281043,root:B,0.27904058,C
ERR4281046,root:B,0.1763061,C
ERR4281092,root:B,0.27897358,C
ERR4281053,root:B,0.27897358,C
ERR4281104,root:B,0.27897358,C
ERR4281118,root:B,0.17630616,C
ERR4281123,root:B,0.27897358,C
ERR4281131,root:B,0.27897358,C
ERR4281139,root:B,0.27897358,C
ERR4281152,root:B,0.27897358,C
ERR4281159,root:B,0.1763061,C
ERR4281172,root:B,0.27897358,C
ERR4281177,root:B,0.27897358,C
ERR4281181,root:B,0.27891853,C
ERR4281185,root:B,0.27897358,C
ERR4281189,root:B,0.27897358,C
ERR4281206,root:B,0.27897358,C
ERR4281212,root:B,0.27897358,C
ERR4281234,root:B,0.27897358,C
ERR4281240,root:B,0.27897358,C
ERR4281247,root:B,0.3619144,C
ERR4281260,root:B,0.27897358,C
ERR4281266,root:B,0.27897358,C
ERR4281275,root:B,0.27897358,C
ERR4281282,root:B,0.27897358,C
ERR4281286,root:B,0.6387544,C
ERR4281302,root:B,0.27897358,C
ERR4281308,root:B,0.27897358,C
ERR4281314,root:B,0.27897358,C
ERR4281322,root:B,0.27897358,C
ERR4281329,root:B,0.27897358,C
ERR4281338,root:B,0.27897358,C
ERR4281343,root:B,0.1763061,C
ERR4281358,root:B,0.27897358,C
ERR4281364,root:B,0.27897358,C
ERR4281370,root:B,0.27897358,C
ERR4281377,root:B,0.27897358,C
ERR4281390,root:B,0.27897358,C
ERR4281398,root:B,0.27897358,C
ERR4281405,root:B,0.27897358,C
ERR4281412,root:B,0.27897358,C
ERR4281419,root:B,0.27897358,C
ERR4281426,root:B,0.27897358,C
ERR4281432,root:B,0.27897358,C
ERR4281438,root:B,0.27134764,C
ERR4281447,root:B,0.27897358,C
ERR4281453,root:B,0.27897358,C
ERR4281459,root:B,0.27897358,C
ERR4281465,root:B,0.27897358,C
ERR4281471,root:B,0.1763061,C
ERR4281476,root:B,0.27897358,C
ERR4281479,root:B,0.27897358,C
ERR4281484,root:B,0.27897358,C
ERR4281494,root:B,0.27897358,C
ERR4281498,root:B,0.27897358,C
ERR4281510,root:B,0.27897358,C
ERR4281516,root:B,0.31113204,C
ERR4281526,root:B,0.1763061,C
ERR4281534,root:B,0.6387544,C
ERR4281546,root:B,0.27897358,C
ERR4281552,root:B,0.1763061,C
ERR4281564,root:B,0.27897358,C
ERR4281573,root:B,0.27889898,C
ERR4281589,root:B,0.6387544,C
ERR4281597,root:B,0.27897358,C
ERR4281608,root:B,0.27897358,C
ERR4281617,root:B,0.27897358,C
ERR4281629,root:B,0.27897358,C
ERR4281634,root:B,0.27897358,C
ERR4281646,root:B,0.27897358,C
ERR4281651,root:B,0.27897358,C
ERR4281659,root:B,0.27897358,C
ERR4281685,root:B,0.27897358,C
ERR4281689,root:B,0.27897358,C
ERR4281695,root:B,0.27897358,C
ERR4281920,root:B,0.27897358,C
ERR4282087,root:B,0.6387544,C
ERR4282531,root:B,0.27897358,C
ERR4282552,root:B,0.27897358,C
ERR4282558,root:B,0.27897358,C
ERR4282610,root:B,0.27897358,C
ERR4282614,root:B,0.27897358,C
ERR4282640,root:B,0.27897358,C
ERR4282658,root:B,0.27897358,C
ERR4282684,root:B,0.27897358,C
ERR4282699,root:B,0.27897358,C
ERR4282705,root:B,0.6331316,C
ERR4282721,root:B,0.38243154,C
ERR4282747,root:B,0.27897358,C
ERR4282771,root:B,0.27897358,C
ERR4282799,root:B,0.27897358,C
ERR4282817,root:B,0.6387544,C
ERR4282848,root:B,0.27897358,C
ERR4282853,root:B,0.49643403,C
ERR4282868,root:B,0.6383171,C
ERR4282957,root:B,0.6387544,C
ERR4281051,root:12M,0.6392527,V
ERR4281134,root:12M,0.22972876,V
ERR4281155,root:12M,0.2906841,V
ERR4281166,root:12M,0.55183554,V
ERR4281381,root:12M,0.22972876,V
ERR4281408,root:12M,0.22972876,V
ERR4281542,root:12M,0.22972876,V
ERR4281612,root:12M,0.55183554,V
ERR4281664,root:12M,0.6392527,V
ERR4281710,root:12M,0.55183554,V
ERR4281718,root:12M,0.6861057,V
ERR4281735,root:12M,0.20751886,V
ERR4281741,root:12M,0.55183554,V
ERR4281747,root:12M,0.55183554,V
ERR4281760,root:12M,0.2075146,V
ERR4281766,root:12M,0.2906841,V
ERR4281772,root:12M,0.22972876,V
ERR4281778,root:12M,0.2906841,V
ERR4281786,root:12M,0.3876612,V
ERR4281790,root:12M,0.6392527,V
ERR4281800,root:12M,0.55183554,V
ERR4281808,root:12M,0.55183554,V
ERR4281810,root:12M,0.20751886,V
ERR4281814,root:12M,0.20751886,V
ERR4281823,root:12M,0.22972876,V
ERR4281833,root:12M,0.2906841,V
ERR4281835,root:12M,0.2906841,V
ERR4281839,root:12M,0.6392806,V
ERR4281847,root:12M,0.55183554,V
ERR4281854,root:12M,0.6392527,V
ERR4281873,root:12M,0.22972876,V
ERR4281879,root:12M,0.22972876,V
ERR4281885,root:12M,0.55183554,V
ERR4281892,root:12M,0.22972876,V
ERR4281902,root:12M,0.55183554,V
ERR4281906,root:12M,0.20751886,V
ERR4281914,root:12M,0.22972876,V
ERR4281930,root:12M,0.22972876,V
ERR4281935,root:12M,0.20751886,V
ERR4281947,root:12M,0.6860118,V
ERR4281953,root:12M,0.55183554,V
ERR4281960,root:12M,0.6861057,V
ERR4281964,root:12M,0.20751886,V
ERR4281968,root:12M,0.22972876,V
ERR4281972,root:12M,0.55183554,V
ERR4281976,root:12M,0.91280544,V
ERR4281987,root:12M,0.55183554,V
ERR4281993,root:12M,0.55183554,V
ERR4281999,root:12M,0.22972876,V
ERR4282009,root:12M,0.55183554,V
ERR4282016,root:12M,0.22972876,V
ERR4282021,root:12M,0.40539983,V
ERR4282026,root:12M,0.6861057,V
