,root:12M:C,root:12M:V,root:3Y:C,root:3Y:V,root:4M:C,root:4M:V,root:5Y:C,root:5Y:V,root:B:C,root:B:V
ERR4282615,0.090313084,0.19576783,0.0883802,0.11815139,0.05267631,0.08745109,0.1248338,0.13745292,0.047672864,0.057300474
ERR4282616,0.09638096,0.12726459,0.0801666,0.12314801,0.069837645,0.1664017,0.119065545,0.10145941,0.028509827,0.08776569
ERR4282617,0.11400522,0.13837439,0.05721191,0.11622476,0.08178943,0.16055048,0.09928289,0.112218775,0.04942361,0.07091859
ERR4282618,0.089330554,0.21298645,0.10117767,0.11053663,0.051574476,0.0737337,0.11566678,0.14234625,0.051261872,0.051385604
ERR4282622,0.09033385,0.18634832,0.08227705,0.121635415,0.053451765,0.0947757,0.13003963,0.13456586,0.046171524,0.060400985
ERR4282623,0.0895011,0.21140306,0.09983972,0.11135729,0.051632278,0.07508496,0.11648057,0.14190747,0.050826337,0.05196727
ERR4282624,0.08939893,0.21331945,0.101222925,0.11057278,0.051440097,0.07376585,0.11541179,0.1423851,0.051128037,0.051355127
ERR4282625,0.08837316,0.21148862,0.102242574,0.10953666,0.052649926,0.0722154,0.11730892,0.14218575,0.05308953,0.05090947
ERR4282626,0.1582188,0.120608374,0.05549622,0.07168616,0.16398571,0.17915928,0.037967876,0.08083974,0.075189926,0.056847923
ERR4282627,0.12454513,0.0939006,0.058226537,0.05556669,0.24886592,0.115292594,0.047908943,0.07515523,0.13012871,0.050409686
ERR4282628,0.088796206,0.1447387,0.056322515,0.13723016,0.053841405,0.13832572,0.1501657,0.11804917,0.036882296,0.07564802
ERR4282629,0.09021186,0.19862875,0.0904028,0.11694604,0.05250248,0.0851071,0.123317875,0.13831864,0.048246138,0.056318317
ERR4282630,0.089355364,0.21407123,0.10177189,0.110260576,0.051365532,0.07324807,0.11499341,0.14257054,0.051248856,0.051114496
ERR4282631,0.10465151,0.10306538,0.0812511,0.117807314,0.076381974,0.19467744,0.10288527,0.10716836,0.026538005,0.08557372
ERR4282632,0.08923797,0.21542387,0.102846,0.10962639,0.051270276,0.07221792,0.11426715,0.14291734,0.051541887,0.050651196
ERR4282633,0.09047544,0.17643058,0.075416714,0.12591267,0.053595938,0.10447954,0.13488787,0.13099775,0.043753162,0.064050294
