,root:12M,root:3Y,root:4M,root:5Y,root:B,root:M
ERR4282731,0.229647,0.2361938,0.1294339,0.13698119,0.11533912,0.15240492
ERR4282732,0.18739635,0.28201407,0.1331838,0.1373725,0.11282829,0.14720498
ERR4282733,0.19160436,0.2780564,0.13308251,0.13673824,0.11275016,0.1477683
ERR4282734,0.14093013,0.13852862,0.39449492,0.119255535,0.11569288,0.09109781
ERR4282735,0.17846571,0.115423076,0.4641837,0.0733204,0.08637093,0.08223621
ERR4282736,0.24885987,0.22483806,0.12882854,0.13132599,0.11279781,0.15334973
ERR4282737,0.1760488,0.11759882,0.45941132,0.07544075,0.0883806,0.08311971
ERR4282738,0.17844743,0.11545819,0.4641212,0.07333036,0.08639208,0.082250684
ERR4282739,0.15628792,0.111990586,0.44917578,0.10457421,0.097529925,0.08044163
ERR4282740,0.20156044,0.265925,0.13217968,0.13728815,0.11378673,0.14926009
ERR4282741,0.24384765,0.22778432,0.12902175,0.13275492,0.113452025,0.15313935
ERR4282746,0.12696582,0.31807864,0.12749587,0.16616607,0.12354015,0.13775338
ERR4282747,0.16995786,0.19915591,0.0819961,0.37411815,0.13392359,0.04084836
ERR4282748,0.17828456,0.11572215,0.46363446,0.07343476,0.08656476,0.08235931
ERR4282749,0.15174626,0.131487,0.41866282,0.10284092,0.10704835,0.08821464
ERR4282750,0.16439302,0.12092632,0.4452737,0.08904666,0.09603969,0.08432072
ERR4282751,0.18550336,0.2838658,0.1332317,0.13762297,0.112838596,0.1469376
ERR4282752,0.20949769,0.25952727,0.1319603,0.13564527,0.11329721,0.15007229
ERR4282753,0.1759021,0.15918006,0.3550138,0.091640964,0.11330858,0.10495454
ERR4282754,0.25261053,0.22114635,0.12831575,0.13133399,0.11298348,0.15360983
ERR4282755,0.19486083,0.27501807,0.13298665,0.13625859,0.11268916,0.1481867
ERR4282756,0.24722026,0.22614598,0.12897445,0.13154633,0.11285698,0.15325594
ERR4282757,0.12162231,0.34985894,0.13078551,0.14975375,0.113662176,0.13431734
ERR4282758,0.22257158,0.21768291,0.14303891,0.13326153,0.1309751,0.15246992
ERR4282759,0.19833618,0.25414956,0.1293752,0.14801978,0.12007412,0.15004519
ERR4282760,0.17696854,0.11833077,0.45904788,0.07411897,0.08810824,0.08342558
ERR4282761,0.17845143,0.11545042,0.46413505,0.0733282,0.0863874,0.082247496
ERR4282762,0.17846571,0.115423076,0.4641837,0.0733204,0.08637093,0.08223621
ERR4282763,0.1454801,0.1984119,0.107091725,0.24340887,0.16438386,0.14122355
ERR4282764,0.17394862,0.12154111,0.4524242,0.07660302,0.09077833,0.08470475
ERR4282765,0.12191608,0.16001536,0.34824213,0.13726637,0.13605157,0.09650843
ERR4282766,0.06770089,0.1875837,0.21810716,0.24186961,0.18836656,0.09637209
ERR4282767,0.11221437,0.118123695,0.3645918,0.19731238,0.12404335,0.083714426
ERR4282768,0.19293596,0.27675933,0.13303544,0.13657637,0.112747,0.147946
ERR4282769,0.13039732,0.29866996,0.12516451,0.17654581,0.12965536,0.13956697
ERR4282770,0.17807086,0.11618902,0.46282583,0.073533036,0.08682991,0.08255142
ERR4282771,0.15194592,0.27484646,0.11932972,0.12153456,0.07663527,0.2557081
ERR4282772,0.06851126,0.19040056,0.21878989,0.23646961,0.1887302,0.09709848
ERR4282773,0.11911808,0.36510327,0.13213274,0.14215659,0.10900132,0.13248798
ERR4282774,0.25246996,0.22168277,0.12842949,0.13105132,0.11279743,0.15356903
ERR4282775,0.19961058,0.26996288,0.13269383,0.13602583,0.11287683,0.14883013
ERR4282776,0.24987859,0.22393985,0.12871607,0.13125166,0.112800196,0.15341352
ERR4282777,0.14493923,0.33143568,0.13367812,0.14002185,0.110704,0.13922118
ERR4282778,0.22299932,0.24752593,0.13113455,0.13390854,0.113042556,0.15138906
ERR4282779,0.09836704,0.1830121,0.28852272,0.16840729,0.16075131,0.10093948
ERR4282780,0.21739717,0.2517682,0.13136,0.13509518,0.11344883,0.15093061
ERR4282781,0.2475454,0.22585176,0.12893774,0.13152687,0.112860665,0.15327753
ERR4282782,0.17336479,0.29715422,0.13361512,0.13848673,0.1124017,0.14497735
ERR4282783,0.14367495,0.30995357,0.1300482,0.15589076,0.119718775,0.14071372
ERR4282784,0.2370391,0.22819774,0.12842445,0.13730258,0.115948364,0.15308776
ERR4282785,0.23890755,0.23296167,0.1296993,0.13260347,0.113102384,0.15272564
